include,FALSE,FALSE,FALSE,filtering,filtering,layout,layout,metadata,FALSE,FALSE,metadata,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,?,?,?,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,?,FALSE,metadata,TRUE,TRUE,TRUE,TRUE,TRUE
variable,,,,,,,,,,,,,interval,interval,interval,,nominal,,nominal,nominal,assymetric,,assymetric,assymetric,assymetric,assymetric,,assymetric,assymetric,assymetric,assymetric,assymetric,,,,asymmetric,asymmetric,asymmetric,asymmetric,,asymmetric,asymmetric,asymmetric,,assymetric,,,assymetric,assymetric,assymetric,assymetric,assymetric,,assymetric,assymetric,,,,,,,,,interval,interval,interval,interval,interval
weight,,,,,,,,,,,,,1/3,1/3,1/3,,½,,½,1,1,,1,1,1,1,,1,1,1,1,1,,,,1,1,1,1,,1,1,1,,1,,,1,1,1,1,1,,1,1,,,,,,,,,1,1,1,1,1
id_burial,id_row,id_unified,id_full,undisturbed,lbk,layout_x,layout_y,sex,sex_dockalova,sex_podborsky,age_cat,age_interval,pit_len,pit_wid,pit_dep,pit_orient,pit_orient_cat,head_orient,head_orient_cat,body_side,pigment,polished_sum,pol_adze,pol_axe,grinding,pebble,lithics_sum,lit_local,lit_nonlocal,lit_kl,lit_skj,lit_other,lit_radiolarit,lit_sgs,pottery_sum,pot_bowl,pot_globular,pot_bottle,pot_special,pot_fragment,pot_head,pot_mid,pot_leg,pot_fill,bone_tool,bone_awl,pendant,pendant_L,pendant_U,pendant_I,buckle_O,bracelet_spond,spond_necklace,beads_spond,beads_marble,dividing_bead,bead_cylinder,bead_circle,bead_olive,deer_teeth,antler,shell,dat,d13c,d15n,sr,sr_ppm,body_height
12,1,7412,12/74,T,T,9,7.95,ind.,NA,NA,A,Adult,NA,NA,NA,135,SE,135,SE,NA,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ib,-19.6,9.3,NA,NA,NA
13,2,7513,13/75,T,T,7.3,7.1,F,F,F,A,Adult,120,90,50,115,SE,126,SE,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.7,10.1,0.71114,68,148.8
14,3,7514,14/75,T,T,7.65,6.8,F,F,F,A2,35–40,135,75,40,130,NW,310,NW,L,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IIa,-19.3,10.1,NA,NA,155.1
15,4,7515,15/75,T,T,7.65,7.75,M,M,M,A2,35–40,180,85,50,122,NW,322,NW,L,1,1,1,0,1,1,1,0,1,0,1,0,0,0,3,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,16,4,1,16,1,0,4,0,0,Ib,-19.2,10,0.71085,71,164.4
16,5,7516,16/75,T,T,8.45,5.6,n. a.,NA,C,I1,3–4,115,80,95,125,SE,135,SE,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.9,9.7,0.71115,77,NA
17,6,7517,17/75,T,T,8,5.7,n. a.,NA,C,I1,±1,NA,NA,45,NA,SE,130,SE,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-18.7,13.3,NA,NA,NA
18,7,7518,18/75,T,T,9.1,5.5,n. a.,NA,C,I1,6–7,135,85,65,138,SE,152,SE,L,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ib,NA,NA,0.71108,48,NA
19,8,7519,19/75,T,T,8.3,4.25,M,M,M,A,25–35,122,78,60,118,NW,302,NW,L,1,1,1,0,0,1,3,0,0,0,0,3,0,0,2,1,0,1,0,0,0,1,0,0,0,0,2,0,2,0,0,0,1,23,0,0,23,0,0,0,0,0,Ib,NA,NA,0.7108,112,166.5
20,9,7520,20/75,T,T,9,4.35,n. a.,NA,C,I,3–4,145,75,120,120,SE,125,SE,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.7,8.4,0.71125,45,NA
21,10,7521,21/75,T,T,9.3,4.2,F,F,F,A2,30–40,155,80,50,124,SE,132,SE,L,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ib,-19.6,9.2,0.7116,78,159.7
22,11,7522,22/75,T,T,9.45,3.75,F,F,F,AM,35–45,155,85,90,114,SE,120,SE,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-19.8,9.5,0.70976,109,154.1
23,12,7523,23/75,T,T,8.85,2.8,M,M,M,J,17–20,180,95,95,134,SE,136,SE,L,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,un,-20.0,10.6,0.71139,57,163.5
24,13,7524,24/75,T,T,9.24,2.1,n. a.,NA,C,I1,5–7,125,90,70,120,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,IIa,-19.9,9.2,NA,NA,NA
