"Radius","Cluster","Variable","Value","Observed","Percent"
2.1,1,"Sex","ind.",0,100
2.1,1,"Sex","n. a.",0,100
2.1,1,"Age","mat.",0,100
2.1,1,"Age","juv.",0,100
2.1,1,"Age","ind.",0,100
2.1,1,"Origin","non-local",0,100
2.1,2,"Sex","F",0,100
2.1,2,"Sex","M",0,100
2.1,2,"Age","mat.",0,100
2.1,2,"Age","ind.",0,100
2.1,2,"Origin","local",0,100
2.1,2,"Origin","non-local",0,100
2.1,3,"Sex","M",0,100
2.1,3,"Sex","ind.",0,100
2.1,3,"Age","ad.",0,100
2.1,3,"Age","mat.",0,100
2.1,3,"Age","ind.",0,100
2.1,3,"Origin","ind.",0,100
2.1,4,"Sex","M",0,100
2.1,4,"Sex","ind.",0,100
2.1,4,"Age","mat.",0,100
2.1,4,"Age","ind.",0,100
2.1,4,"Origin","ind.",0,100
2.1,5,"Sex","M",0,100
2.1,5,"Sex","ind.",0,100
2.1,5,"Age","ind.",0,100
2.1,5,"Age","mat.",0,100
2.1,5,"Origin","local",0,100
2.1,5,"Origin","non-local",0,100
2.1,6,"Sex","F",0,100
2.1,6,"Sex","M",0,100
2.1,6,"Age","mat.",0,100
2.1,6,"Age","ad.",0,100
2.1,6,"Origin","non-local",0,100
2.1,7,"Sex","M",0,100
2.1,7,"Sex","ind.",0,100
2.1,7,"Age","mat.",0,100
2.1,7,"Age","ind.",0,100
2.1,7,"Origin","non-local",0,100
2.1,8,"Sex","ind.",0,100
2.1,8,"Sex","M",0,100
2.1,8,"Age","ind.",0,100
2.1,8,"Age","mat.",0,100
2.1,8,"Origin","ind.",0,100
2.1,9,"Sex","n. a.",0,100
2.1,9,"Sex","M",0,100
2.1,9,"Age","juv.",0,100
2.1,9,"Age","mat.",0,100
2.1,9,"Origin","non-local",0,100
2.1,10,"Sex","F",0,100
2.1,10,"Sex","ind.",0,100
2.1,10,"Age","mat.",0,100
2.1,10,"Age","juv.",0,100
2.1,10,"Origin","non-local",0,100
2.1,11,"Sex","ind.",0,100
2.1,11,"Sex","n. a.",0,100
2.1,11,"Age","mat.",0,100
2.1,11,"Age","ind.",0,100
2.1,11,"Age","juv.",0,100
2.1,11,"Origin","ind.",0,100
2.1,12,"Sex","F",0,100
2.1,12,"Sex","ind.",0,100
2.1,12,"Age","ad.",0,100
2.1,12,"Age","ind.",0,100
2.1,12,"Origin","ind.",0,100
2.1,13,"Sex","M",0,100
2.1,13,"Sex","ind.",0,100
2.1,13,"Age","ind.",0,100
2.1,13,"Age","mat.",0,100
2.1,13,"Origin","ind.",0,100
2.1,14,"Sex","M",0,100
2.1,14,"Sex","n. a.",0,100
2.1,14,"Age","ad.",0,100
2.1,14,"Age","mat.",0,100
2.1,14,"Origin","local",0,100
2.1,15,"Sex","F",0,100
2.1,15,"Sex","n. a.",0,100
2.1,15,"Age","ind.",0,100
2.1,15,"Age","mat.",0,100
2.1,15,"Age","juv.",0,100
2.1,15,"Origin","local",0,100
2.8,1,"Sex","ind.",0,100
